City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Shiraz,IR,2022-09-25 22:31:49,29.6036,52.5388,71.04,24,0,4.61,clear sky
53,Mizdah,LY,2022-09-25 22:31:50,31.4451,12.9801,70.79,40,5,11.01,clear sky
54,Kaitangata,NZ,2022-09-25 22:31:50,-46.2817,169.8464,59.9,66,65,2.75,broken clouds
55,Punta Arenas,CL,2022-09-25 22:31:50,-53.15,-70.9167,44.71,76,75,8.05,broken clouds
56,Lorengau,PG,2022-09-25 22:31:51,-2.0226,147.2712,84.65,63,24,10.47,few clouds
57,Caravelas,BR,2022-09-25 22:31:51,-17.7125,-39.2481,71.58,82,100,9.48,overcast clouds
58,Port Elizabeth,ZA,2022-09-25 22:31:51,-33.918,25.5701,61.32,84,20,11.5,few clouds
59,Lucapa,AO,2022-09-25 22:31:52,-8.4192,20.7447,69.8,69,100,0.51,overcast clouds
60,Arkhangelskoye,RU,2022-09-25 22:31:52,55.8549,35.3287,41.97,98,100,4.72,overcast clouds
61,Nishihara,JP,2022-09-25 22:31:52,26.1842,127.7558,78.85,94,75,3.44,broken clouds
62,Seydi,TM,2022-09-25 22:31:53,39.4816,62.9137,74.59,14,0,11.16,clear sky
63,Pisco,PE,2022-09-25 22:28:49,-13.7,-76.2167,64.45,68,1,20.71,smoke
64,Ribeira Grande,PT,2022-09-25 22:31:53,38.5167,-28.7,71.53,71,62,17.67,broken clouds
65,Le Vauclin,MQ,2022-09-25 22:31:54,14.5452,-60.8388,82.45,78,40,9.22,scattered clouds
66,Jiuquan,CN,2022-09-25 22:31:54,39.7432,98.5174,54.97,23,89,1.63,overcast clouds
67,Longyearbyen,SJ,2022-09-25 22:31:54,78.2186,15.6401,44.44,76,75,10.36,broken clouds
68,Lebu,CL,2022-09-25 22:31:54,-37.6167,-73.65,49.55,83,86,7.76,overcast clouds
69,Kapaa,US,2022-09-25 22:31:55,22.0752,-159.319,86.11,68,0,10.36,clear sky
70,Hithadhoo,MV,2022-09-25 22:31:55,-0.6,73.0833,80.35,77,100,13.47,overcast clouds
71,Airai,TL,2022-09-25 22:31:55,-8.9266,125.4092,67.68,48,41,1.99,scattered clouds
72,Meulaboh,ID,2022-09-25 22:31:56,4.1363,96.1285,75.92,89,100,3.67,overcast clouds
73,Cap-Aux-Meules,CA,2022-09-25 22:27:16,47.3821,-61.8597,59.02,67,20,8.05,few clouds
74,Severo-Kurilsk,RU,2022-09-25 22:31:56,50.6789,156.125,51.26,90,98,23.51,overcast clouds
75,Sangmelima,CM,2022-09-25 22:31:57,2.9333,11.9833,67.95,99,100,4.18,overcast clouds
76,Necochea,AR,2022-09-25 22:31:57,-38.5473,-58.7368,51.04,91,100,12.75,overcast clouds
77,Porto Santo,PT,2022-09-25 22:31:57,33.072,-16.3415,70.18,68,40,13.8,scattered clouds
78,Castro,BR,2022-09-25 22:31:57,-24.7911,-50.0119,54.43,81,100,4.94,overcast clouds
79,Verkhnyaya Sinyachikha,RU,2022-09-25 22:31:58,57.976,61.6673,36.19,74,100,13.47,overcast clouds
80,Povenets,RU,2022-09-25 22:31:58,62.8487,34.8262,44.82,94,100,5.66,overcast clouds
81,Komsomolskiy,UZ,2022-09-25 22:31:58,40.4272,71.7189,65.12,42,0,6.91,clear sky
82,Marawi,PH,2022-09-25 22:31:59,7.9986,124.2928,71.13,83,99,7.31,overcast clouds
83,Katherine,AU,2022-09-25 22:31:59,-14.4667,132.2667,80.92,61,67,6.91,broken clouds
84,Saint-Philippe,RE,2022-09-25 22:31:59,-21.3585,55.7679,65.79,82,25,11.7,scattered clouds
85,Inirida,CO,2022-09-25 22:32:00,3.8653,-67.9239,77.07,89,100,1.97,overcast clouds
86,San Quintin,MX,2022-09-25 22:32:00,30.4833,-115.95,77.25,67,0,15.95,clear sky
87,Talnakh,RU,2022-09-25 22:32:00,69.4865,88.3972,24.21,75,34,2.55,scattered clouds
88,Gravdal,NO,2022-09-25 22:32:01,68.1214,13.5031,54.03,69,86,28.12,overcast clouds
89,Vaini,TO,2022-09-25 22:32:01,-21.2,-175.2,78.96,83,75,4.61,broken clouds
90,Taltal,CL,2022-09-25 22:32:01,-25.4,-70.4833,60.28,66,15,5.68,few clouds
91,Adrar,MR,2022-09-25 22:32:02,20.5022,-10.0711,93.9,27,78,7.81,broken clouds
92,Beloha,MG,2022-09-25 22:32:02,-25.1667,45.05,71.17,57,0,6.76,clear sky
93,Novobiryusinskiy,RU,2022-09-25 22:33:02,56.9578,97.7076,33.93,91,100,6.2,overcast clouds
94,Beringovskiy,RU,2022-09-25 22:33:03,63.05,179.3167,36.86,54,0,11.01,clear sky
95,Bredasdorp,ZA,2022-09-25 22:33:03,-34.5322,20.0403,53.92,96,100,3.15,overcast clouds
96,Dunedin,NZ,2022-09-25 22:33:03,-45.8742,170.5036,52.81,81,96,1.01,overcast clouds
97,Shalyhyne,UA,2022-09-25 22:33:04,51.5717,34.1217,49.06,68,97,6.06,overcast clouds
98,Tura,IN,2022-09-25 22:33:04,25.5198,90.2201,71.6,93,100,3.2,overcast clouds
99,Quatre Cocos,MU,2022-09-25 22:33:05,-20.2078,57.7625,71.1,79,6,15.23,clear sky
100,Pevek,RU,2022-09-25 22:33:05,69.7008,170.3133,31.05,67,7,1.9,clear sky
101,Rabo De Peixe,PT,2022-09-25 22:33:05,37.8,-25.5833,67.51,79,40,5.75,scattered clouds
102,Bonfim,BR,2022-09-25 22:33:06,3.0833,-59.95,80.82,70,23,7.36,light rain
