City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Qiryat Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
482,Half Moon Bay,US,85.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
487,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
506,Ewa Beach,US,87.17,clear sky,21.3156,-158.0072,Base Lodging
508,Auki,SB,84.09,broken clouds,-8.7676,160.7034,Auki Motel
509,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
514,Marsh Harbour,BS,83.07,few clouds,26.5412,-77.0636,Abaco Beach Resort
515,Guanica,PR,82.94,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
522,Pilar,BR,75.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
525,Coahuayana,MX,85.19,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
526,Biak,ID,77.58,broken clouds,-0.9131,122.8766,Penginapan Kim
529,Jibuti,DJ,85.95,clear sky,11.5,42.5,Orchid Main Camp Goubet
531,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
536,Muscat,OM,84.22,clear sky,23.6139,58.5922,Mutrah Hotel
538,Qinzhou,CN,76.05,clear sky,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
539,Santa Maria Do Para,BR,76.82,scattered clouds,-1.3503,-47.5756,Shopping Motel (Adults Only)
546,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
548,Makakilo City,US,85.75,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
555,Atambua,ID,78.42,scattered clouds,-9.1061,124.8925,Ros Muskanan
556,Araxa,BR,80.56,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
560,Orchard Homes,US,81.59,clear sky,46.8633,-114.0484,Broadway Inn
563,Ruwi,OM,83.89,clear sky,23.5996,58.5507,Al Falaj Hotel
564,Balabac,PH,82.08,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
565,Abnub,EG,88.02,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
567,Pandharpur,IN,75.96,overcast clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
568,Puro,PH,79.07,overcast clouds,12.4841,123.3827,
569,Varzea Grande,BR,87.67,broken clouds,-15.6467,-56.1325,Hotel Express
575,Kimbe,PG,84.76,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
577,Xiamen,CN,79.25,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
579,Akyab,MM,78.19,moderate rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
581,Yarada,IN,80.11,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
584,Rabaul,PG,82.0,clear sky,-4.1967,152.1721,Rabaul Hotel
588,Rincon,US,82.36,scattered clouds,32.296,-81.2354,Days Inn Rincon
595,Claresholm,CA,78.71,clear sky,50.0333,-113.5852,Bluebird Motel
597,North Augusta,US,83.52,few clouds,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
598,Nago,JP,79.65,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
605,Maiduguri,NG,81.34,few clouds,11.8464,13.1603,Kagel Mari Police Station
606,Uarini,BR,78.69,broken clouds,-2.99,-65.1083,
608,Tautira,PF,76.44,light rain,-17.7333,-149.15,Pension Oaoa
609,Phan Thiet,VN,76.42,light rain,10.9333,108.1,Hotel Saigon-PT
617,Buluang,PH,78.35,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
623,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
627,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
629,Susanville,US,85.66,clear sky,40.4163,-120.653,Comfort Inn & Suites
632,Umm Kaddadah,SD,77.79,light rain,13.6017,26.6876,
635,Jiazi,CN,76.78,few clouds,22.8779,116.067,Hotel Jin Hao
638,Aurora,US,78.28,few clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
640,Jizan,SA,88.74,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
641,Villa Sandino,NI,81.77,broken clouds,12.0483,-84.9936,Salón Rossmary
643,Robertsport,LR,76.8,moderate rain,6.7533,-11.3686,Kwepunha Retreat
645,Qingyuan,CN,78.78,clear sky,23.7,113.0333,Guojin Commercial Hotel
651,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
653,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
654,Sola,VU,81.09,few clouds,-13.8833,167.55,Leumerus Bungalows
655,Banjar,ID,76.73,overcast clouds,-8.19,114.9675,The Hamsa Resort
657,San Francisco De Macoris,DO,88.48,overcast clouds,19.2952,-70.2554,Hotel Las Caobas
664,Dosso,NE,84.79,scattered clouds,13.049,3.1937,Hotel Toubal
665,Contamana,PE,88.59,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
667,Gizo,SB,83.32,broken clouds,-8.103,156.8419,Imagination Island
668,Sheridan,US,75.69,clear sky,44.8333,-106.9173,Comfort Inn & Suites
